Num,FchTrans,Seq,CtaMay,ImporteLC,ImporteTC,Ind,Observaciones,CodSoc,Ej,Mon,StatusReg,UsuarioReg,FchReg,TipoMov
001,15-01-2024,1,430001,1425.80,1425.80,+,Compra ordenador portatil Dell,SOC01,2024,EUR,ACTIVO,ADMIN01,15-01-2024 09:30,COMPRA
001,15-01-2024,2,113001,1425.80,1425.80,-,Compra ordenador portatil Dell,SOC01,2024,EUR,ACTIVO,ADMIN01,15-01-2024 09:30,COMPRA
002,16-01-2024,1,620001,890.50,890.50,+,Facebook Ads campana invierno,SOC01,2024,EUR,ACTIVO,MARKETING01,16-01-2024 11:45,GASTO
002,16-01-2024,2,113001,890.50,890.50,-,Facebook Ads campana invierno,SOC01,2024,EUR,ACTIVO,MARKETING01,16-01-2024 11:45,GASTO
003,17-01-2024,1,113001,2100.00,2100.00,+,Transferencia Iberdrola SA,SOC01,2024,EUR,ACTIVO,VENTAS01,17-01-2024 08:15,INGRESO
003,17-01-2024,2,700001,2100.00,2100.00,-,Transferencia Iberdrola SA,SOC01,2024,EUR,ACTIVO,VENTAS01,17-01-2024 08:15,INGRESO
004,18-01-2024,1,510001,1780.00,1780.00,+,Sage 50 licencia 3 usuarios,SOC01,2024,EUR,ACTIVO,ADMIN01,18-01-2024 14:20,SOFT
004,18-01-2024,2,113001,1780.00,1780.00,-,Sage 50 licencia 3 usuarios,SOC01,2024,EUR,ACTIVO,ADMIN01,18-01-2024 14:20,SOFT
005,19-01-2024,1,621001,620.75,620.75,+,AVE Madrid-Barcelona reunion,SOC01,2024,EUR,ACTIVO,COMERCIAL01,19-01-2024 10:00,VIAJE
005,19-01-2024,2,113001,620.75,620.75,-,AVE Madrid-Barcelona reunion,SOC01,2024,EUR,ACTIVO,COMERCIAL01,19-01-2024 10:00,VIAJE
006,20-01-2024,1,350001,3400.00,3400.00,+,Acero inoxidable bobinas,SOC01,2024,EUR,ACTIVO,PRODUCCION01,20-01-2024 09:30,MATERIA
006,20-01-2024,2,113001,3400.00,3400.00,-,Acero inoxidable bobinas,SOC01,2024,EUR,ACTIVO,PRODUCCION01,20-01-2024 09:30,MATERIA
007,21-01-2024,1,113001,2950.00,2950.00,+,Cheque Construcciones Perez,SOC01,2024,EUR,ACTIVO,VENTAS01,21-01-2024 13:15,VENTA
007,21-01-2024,2,705001,2950.00,2950.00,-,Cheque Construcciones Perez,SOC01,2024,EUR,ACTIVO,VENTAS01,21-01-2024 13:15,VENTA
008,22-01-2024,1,628001,380.25,380.25,+,Papel A4 y toner impresora,SOC01,2024,EUR,ACTIVO,ADMIN01,22-01-2024 15:45,OFICINA
008,22-01-2024,2,113001,380.25,380.25,-,Papel A4 y toner impresora,SOC01,2024,EUR,ACTIVO,ADMIN01,22-01-2024 15:45,OFICINA
009,23-01-2024,1,520001,750.00,750.00,+,Servicio tecnico HP servidor,SOC01,2024,EUR,ACTIVO,SISTEMAS01,23-01-2024 08:30,MANTENIMIENTO
009,23-01-2024,2,113001,750.00,750.00,-,Servicio tecnico HP servidor,SOC01,2024,EUR,ACTIVO,SISTEMAS01,23-01-2024 08:30,MANTENIMIENTO
010,24-01-2024,1,113001,4200.00,4200.00,+,Domiciliacion Banco Sabadell,SOC01,2024,EUR,ACTIVO,VENTAS01,24-01-2024 16:00,FACTURACION
010,24-01-2024,2,700001,4200.00,4200.00,-,Domiciliacion Banco Sabadell,SOC01,2024,EUR,ACTIVO,VENTAS01,24-01-2024 16:00,FACTURACION
