As,FechaTrans,FechaReg,Linea,CuentaGL,Monto,Tipo,Comentario,Empresa,Ejercicio,Divisa,Estado,Operador
REG001,2024-01-15,2024-01-15 09:30,1,430001,1250.00,D,Adquisicion material,EMP01,2024,EUR,P,OP001
REG001,2024-01-15,2024-01-15 09:30,2,113001,1250.00,H,Adquisicion material,EMP01,2024,EUR,P,OP001
REG002,2024-01-15,2024-01-15 14:20,1,620001,2100.00,D,Campana publicidad,EMP01,2024,EUR,P,OP002
REG002,2024-01-15,2024-01-15 14:20,2,113001,2100.00,H,Campana publicidad,EMP01,2024,EUR,P,OP002
REG003,2024-01-16,2024-01-16 08:45,1,113001,3500.00,D,Pago cliente ABC,EMP01,2024,EUR,P,OP003
REG003,2024-01-16,2024-01-16 08:45,2,700001,3500.00,H,Pago cliente ABC,EMP01,2024,EUR,P,OP003
REG004,2024-01-16,2024-01-16 11:15,1,510001,1800.00,D,Software empresarial,EMP01,2024,EUR,P,OP001
REG004,2024-01-16,2024-01-16 11:15,2,113001,1800.00,H,Software empresarial,EMP01,2024,EUR,P,OP001
REG005,2024-01-17,2024-01-17 10:00,1,621001,750.25,D,Desplazamientos,EMP01,2024,EUR,P,OP004
REG005,2024-01-17,2024-01-17 10:00,2,113001,750.25,H,Desplazamientos,EMP01,2024,EUR,P,OP004
REG006,2024-01-17,2024-01-17 15:30,1,350001,2850.00,D,Materia prima,EMP01,2024,EUR,P,OP005
REG006,2024-01-17,2024-01-17 15:30,2,113001,2850.00,H,Materia prima,EMP01,2024,EUR,P,OP005
REG007,2024-01-18,2024-01-18 09:45,1,113001,4100.00,D,Servicios tecnicos,EMP01,2024,EUR,P,OP003
REG007,2024-01-18,2024-01-18 09:45,2,705001,4100.00,H,Servicios tecnicos,EMP01,2024,EUR,P,OP003
REG008,2024-01-18,2024-01-18 13:20,1,628001,420.50,D,Material oficina,EMP01,2024,EUR,P,OP002
REG008,2024-01-18,2024-01-18 13:20,2,113001,420.50,H,Material oficina,EMP01,2024,EUR,P,OP002
REG009,2024-01-19,2024-01-19 08:30,1,520001,890.00,D,Mantenimiento IT,EMP01,2024,EUR,P,OP006
REG009,2024-01-19,2024-01-19 08:30,2,113001,890.00,H,Mantenimiento IT,EMP01,2024,EUR,P,OP006
REG010,2024-01-19,2024-01-19 16:45,1,113001,5200.00,D,Facturacion enero,EMP01,2024,EUR,P,OP003
REG010,2024-01-19,2024-01-19 16:45,2,700001,5200.00,H,Facturacion enero,EMP01,2024,EUR,P,OP003
